enrollee_id,full_name,city,gender,enrolled_university,education_level,major_discipline,relevent_experience,experience,company_size,company_type,last_new_job,training_hours,employed
8949,Mike Jones,city_103,male,no_enrollment,graduate,stem,Has relevent experience,>20,unknown,unknown,1,36,1.0
29725,Laura Jones,city_40,male,no_enrollment,graduate,stem,No relevent experience,15,50-99,pvt ltd,>4,47,0.0
11561,David Miller,city_21,other,full time course,graduate,stem,No relevent experience,5,unknown,unknown,never,83,0.0
33241,Laura Davis,city_115,other,no_enrollment,graduate,business degree,No relevent experience,<1,unknown,pvt ltd,never,52,1.0
666,Alex Martinez,city_162,male,no_enrollment,masters,stem,Has relevent experience,>20,50-99,funded startup,4,8,0.0
21651,Mike Garcia,city_176,other,part time course,graduate,stem,Has relevent experience,11,unknown,unknown,1,24,1.0
28806,Mike Davis,city_160,male,no_enrollment,high school,stem,Has relevent experience,5,50-99,funded startup,1,24,0.0
402,John Smith,city_46,male,no_enrollment,graduate,stem,Has relevent experience,13,<10,pvt ltd,>4,18,1.0
27107,John Jones,city_103,male,no_enrollment,graduate,stem,Has relevent experience,7,50-99,pvt ltd,1,46,1.0
699,John Williams,city_103,other,no_enrollment,graduate,stem,Has relevent experience,17,10000+,pvt ltd,>4,123,0.0
29452,Laura Miller,city_21,other,full time course,high school,stem,No relevent experience,2,unknown,unknown,never,32,1.0
23853,Laura Johnson,city_103,male,no_enrollment,graduate,stem,Has relevent experience,5,5000-9999,pvt ltd,1,108,0.0
25619,Laura Miller,city_61,male,no_enrollment,graduate,stem,Has relevent experience,>20,1000-4999,pvt ltd,3,23,0.0
5826,Alex Davis,city_21,male,no_enrollment,graduate,stem,No relevent experience,2,unknown,unknown,never,24,0.0
8722,Mike Jones,city_21,other,full time course,high school,stem,No relevent experience,5,unknown,unknown,never,26,0.0
6588,John Johnson,city_114,male,no_enrollment,graduate,stem,Has relevent experience,16,10/49,pvt ltd,>4,18,0.0
4167,Katie Hernandez,city_103,other,no_enrollment,graduate,stem,Has relevent experience,1,50-99,pvt ltd,never,106,0.0
5764,Laura Smith,city_21,other,no_enrollment,graduate,stem,Has relevent experience,2,5000-9999,pvt ltd,2,7,0.0
2156,Mike Miller,city_21,other,no_enrollment,graduate,stem,Has relevent experience,7,10000+,pvt ltd,never,23,1.0
11399,Jane Smith,city_13,female,no_enrollment,graduate,arts,Has relevent experience,4,unknown,unknown,1,132,1.0
31972,Mike Martinez,city_159,male,no_enrollment,masters,stem,Has relevent experience,11,100-500,pvt ltd,1,68,0.0
19061,John Williams,city_114,male,no_enrollment,masters,stem,Has relevent experience,11,100-500,pvt ltd,2,50,0.0
6491,Chris Garcia,city_102,other,no_enrollment,masters,stem,Has relevent experience,10,unknown,unknown,1,48,0.0
7041,Sarah Johnson,city_40,male,no_enrollment,graduate,humanities,Has relevent experience,<1,1000-4999,pvt ltd,1,65,0.0
22767,Alex Jones,city_21,other,no_enrollment,graduate,stem,Has relevent experience,5,1000-4999,pvt ltd,1,13,0.0
14505,Chris Martinez,city_67,other,no_enrollment,high school,stem,No relevent experience,4,unknown,unknown,never,22,0.0
17139,Sarah Hernandez,city_21,other,part time course,graduate,stem,Has relevent experience,14,500-999,pvt ltd,1,148,1.0
28476,Katie Williams,city_103,male,no_enrollment,graduate,arts,Has relevent experience,5,unknown,unknown,2,72,0.0
21538,Katie Brown,city_100,male,no_enrollment,high school,stem,Has relevent experience,11,<10,pvt ltd,1,8,1.0
10408,Sarah Jones,city_21,male,no_enrollment,graduate,stem,Has relevent experience,18,50-99,funded startup,2,68,1.0
14928,David Miller,city_103,male,no_enrollment,graduate,stem,Has relevent experience,>20,100-500,pvt ltd,3,40,0.0
22293,Sarah Jones,city_103,male,part time course,graduate,stem,Has relevent experience,19,5000-9999,pvt ltd,>4,141,0.0
4324,Katie Davis,city_103,female,full time course,graduate,stem,No relevent experience,5,unknown,unknown,1,24,0.0
26966,Alex Williams,city_160,female,no_enrollment,graduate,stem,Has relevent experience,>20,100-500,pvt ltd,>4,82,0.0
26494,Alex Brown,city_16,male,no_enrollment,graduate,business degree,Has relevent experience,12,5000-9999,pvt ltd,3,145,0.0
4866,David Davis,city_103,male,no_enrollment,graduate,stem,Has relevent experience,10,10/49,early stage startup,2,206,0.0
12726,Laura Hernandez,city_114,male,part time course,high school,stem,No relevent experience,1,10000+,other,1,152,0.0
10164,Jane Brown,city_114,male,no_enrollment,phd,stem,Has relevent experience,>20,100-500,pvt ltd,4,42,1.0
8612,Laura Williams,city_103,other,no_enrollment,graduate,stem,No relevent experience,12,unknown,unknown,4,50,0.0
24659,John Hernandez,city_71,male,no_enrollment,graduate,stem,No relevent experience,3,unknown,unknown,never,106,0.0
2547,Sarah Hernandez,city_114,female,full time course,masters,stem,Has relevent experience,16,1000-4999,public sector,2,14,0.0
13854,Jane Garcia,city_104,male,no_enrollment,high school,stem,Has relevent experience,4,10/49,pvt ltd,2,36,0.0
31654,Laura Garcia,city_21,other,no_enrollment,masters,stem,Has relevent experience,6,50-99,early stage startup,1,112,1.0
13643,Jane Williams,city_64,other,no_enrollment,graduate,no major,No relevent experience,9,50-99,pvt ltd,never,108,0.0
5590,John Johnson,city_21,male,part time course,masters,stem,Has relevent experience,9,5000-9999,pvt ltd,3,7,1.0
